iter	Passed	Remaining
0	139	139784
1	141	70761
2	143	47669
3	144	36032
4	146	29056
5	147	24353
6	147	20967
7	148	18420
8	149	16435
9	149	14843
10	150	13527
11	150	12428
12	151	11498
13	151	10701
14	152	10016
15	152	9409
16	153	8871
17	153	8396
18	154	7970
19	154	7589
20	155	7244
21	156	6935
22	156	6647
23	157	6384
24	157	6140
25	157	5914
26	158	5705
27	158	5511
28	159	5331
29	159	5166
30	160	5010
31	160	4862
32	161	4723
33	161	4592
34	162	4470
35	162	4354
36	163	4245
37	163	4141
38	164	4042
39	164	3950
40	165	3861
41	165	3779
42	166	3699
43	166	3624
44	167	3550
45	167	3480
46	168	3412
47	168	3346
48	169	3285
49	169	3225
50	170	3169
51	170	3113
52	171	3059
53	171	3009
54	172	2959
55	172	2911
56	173	2864
57	173	2819
58	174	2777
59	174	2736
60	175	2697
61	175	2659
62	176	2621
63	176	2584
64	177	2549
65	177	2514
66	178	2482
67	178	2445
68	178	2413
69	179	2382
70	179	2351
71	180	2323
72	180	2295
73	181	2268
74	181	2243
75	182	2216
76	182	2190
77	183	2166
78	183	2143
79	184	2119
80	184	2096
81	185	2073
82	185	2052
83	186	2031
84	186	2008
85	187	1987
86	187	1965
87	187	1946
88	188	1927
89	188	1909
90	189	1890
91	189	1872
92	190	1856
93	190	1838
94	191	1822
95	191	1806
96	192	1791
97	192	1775
98	193	1760
99	193	1744
100	194	1729
101	194	1713
102	195	1698
103	195	1684
104	195	1670
105	196	1656
106	196	1643
107	197	1630
108	197	1617
109	198	1605
110	198	1593
111	199	1581
112	199	1568
113	200	1557
114	200	1546
115	201	1533
116	201	1522
117	202	1511
118	202	1499
119	203	1488
120	203	1478
121	204	1468
122	204	1457
123	204	1447
124	205	1437
125	205	1427
126	206	1418
127	206	1407
128	207	1398
129	207	1389
130	208	1381
131	208	1372
132	209	1364
133	209	1355
134	210	1346
135	210	1338
136	211	1329
137	211	1320
138	211	1312
139	212	1305
140	213	1297
141	213	1290
142	214	1282
143	214	1274
144	215	1267
145	215	1260
146	216	1253
147	216	1246
148	217	1239
149	217	1232
150	218	1225
151	218	1219
152	219	1212
153	219	1206
154	220	1200
155	220	1194
156	221	1187
157	221	1181
