iter	Passed	Remaining
158	222	1174
159	222	1168
160	223	1162
161	223	1156
162	224	1150
163	224	1144
164	224	1138
165	225	1132
166	225	1127
167	226	1121
168	227	1116
169	227	1110
170	227	1105
171	228	1099
172	228	1094
173	229	1089
174	230	1084
175	230	1079
176	231	1074
177	231	1069
178	232	1064
179	232	1059
180	232	1053
181	233	1048
182	233	1043
183	234	1038
184	234	1034
185	235	1029
186	235	1024
187	236	1020
188	236	1015
189	237	1011
190	237	1007
191	238	1003
192	238	998
193	239	994
194	239	990
195	240	985
196	240	981
197	241	977
198	241	973
199	242	969
200	242	965
201	243	961
202	243	957
203	244	953
204	244	949
205	245	945
206	245	941
207	246	937
208	246	933
209	247	930
210	247	926
211	248	922
212	248	918
213	249	915
214	249	911
215	250	908
216	250	904
217	251	901
218	251	897
219	252	894
220	252	891
221	253	887
222	253	884
223	254	880
224	254	877
225	255	873
226	255	870
227	256	867
228	256	864
229	257	861
230	257	858
231	258	855
232	258	852
233	259	848
234	259	846
235	260	842
236	260	839
237	261	836
238	261	833
239	262	830
240	262	827
241	263	824
242	263	822
243	264	819
244	264	816
245	265	813
246	265	810
247	266	807
248	266	804
249	267	801
250	267	798
251	268	796
252	268	793
253	269	790
254	269	787
255	270	784
256	270	782
257	271	779
258	271	776
259	272	774
260	272	771
261	272	768
262	273	766
263	273	763
264	274	760
265	274	758
266	275	756
267	275	753
268	276	751
269	276	748
270	277	746
271	277	743
272	278	741
273	278	738
274	279	736
275	279	734
276	280	732
277	280	729
278	281	727
279	281	724
280	282	722
281	282	719
282	283	717
283	283	715
284	284	712
285	284	710
286	285	708
287	285	705
288	285	703
289	286	701
290	286	698
291	287	696
292	287	694
293	288	692
294	288	690
295	289	688
296	289	686
297	290	684
298	290	682
299	291	679
300	291	677
301	292	675
302	292	673
303	293	671
304	293	669
305	294	667
306	294	665
307	295	663
308	295	661
309	296	659
310	296	657
311	297	655
312	297	653
313	298	651
314	298	649
315	299	647
316	299	645
317	300	644
318	300	642
319	301	640
320	301	638
321	302	636
322	302	634
323	303	632
324	303	631
325	304	629
326	304	627
327	305	625
328	305	623
329	306	621
330	306	619
331	307	618
332	307	616
333	308	614
334	308	612
335	309	611
336	309	609
337	310	607
338	310	605
339	311	604
340	311	602
341	312	601
342	313	600
343	314	599
344	314	597
345	315	596
346	315	594
347	316	592
348	316	591
349	317	589
350	317	587
351	318	585
352	318	584
353	319	582
354	319	580
355	320	579
356	320	577
357	321	575
358	321	574
359	322	572
360	322	571
361	323	569
362	323	568
363	324	566
364	324	564
365	325	563
366	325	561
367	326	560
368	326	558
369	327	556
370	327	555
371	328	553
372	328	552
373	329	550
374	329	549
375	330	547
376	330	546
377	331	545
378	331	543
379	332	541
380	332	540
381	333	538
382	333	537
383	333	535
384	334	534
385	334	532
386	335	531
387	335	529
388	336	528
389	336	526
390	337	525
391	337	523
392	338	522
393	338	521
394	339	519
395	339	518
396	340	516
397	340	515
398	341	513
399	341	512
400	342	511
401	342	509
402	343	508
403	343	506
404	344	505
405	344	504
406	345	503
407	345	501
408	346	500
409	346	499
410	347	497
411	347	496
412	348	495
413	348	493
414	349	492
415	349	491
416	350	489
417	350	488
418	351	487
419	351	485
420	352	484
421	352	483
422	353	481
423	353	480
424	354	479
425	354	478
426	355	476
427	355	475
428	356	474
429	356	473
430	357	471
431	357	470
432	358	469
433	358	468
434	359	466
435	359	465
436	360	464
437	360	463
438	361	461
439	361	460
440	362	459
441	362	458
442	363	456
443	363	455
444	364	454
445	364	453
446	365	451
447	365	450
448	366	449
449	366	448
450	367	447
451	367	445
452	368	444
453	368	443
454	369	442
455	369	441
456	370	439
457	370	438
458	371	437
459	371	436
460	372	435
461	372	434
462	373	432
463	373	431
464	374	430
465	374	429
466	375	428
467	375	427
468	376	425
469	376	424
470	377	423
471	377	422
472	378	421
473	378	420
474	379	419
475	379	417
476	380	416
477	380	415
478	381	414
479	381	413
480	382	412
481	382	411
482	383	410
483	383	408
484	384	407
485	384	406
486	385	405
487	385	404
488	386	403
489	386	402
490	387	401
491	387	400
492	388	399
493	388	398
494	389	396
495	389	395
496	390	394
497	390	393
498	391	392
499	391	391
500	392	390
501	392	389
502	393	388
503	393	387
504	394	386
505	394	385
506	395	384
507	395	383
508	395	381
509	396	380
510	396	379
511	397	378
512	397	377
513	398	376
514	399	375
515	399	374
516	400	373
517	400	372
518	400	371
519	401	370
520	401	369
521	402	368
522	402	367
523	403	366
524	403	365
525	404	364
526	404	363
527	405	362
528	405	361
529	406	360
530	406	359
531	407	358
532	407	357
533	407	356
534	408	354
535	408	354
536	409	353
537	409	351
538	410	350
539	410	350
540	411	349
541	411	348
542	412	347
543	412	346
544	413	345
545	413	344
546	414	343
547	414	342
548	415	341
549	416	340
550	416	339
551	417	338
552	417	337
553	418	336
554	418	335
555	419	334
556	419	333
557	420	332
558	420	332
559	421	331
560	421	330
561	422	329
562	422	328
563	423	327
564	423	326
565	424	325
566	424	324
567	425	323
568	425	322
569	425	321
570	426	320
571	426	319
572	427	318
573	427	317
574	428	316
575	428	315
576	429	314
577	429	313
578	430	312
579	430	312
580	431	311
581	431	310
582	432	309
583	432	308
584	433	307
585	434	306
586	434	305
587	435	304
588	435	304
589	436	303
590	436	302
591	437	301
592	437	300
593	438	299
594	438	298
595	439	297
596	439	296
597	440	295
598	440	294
599	440	293
600	441	293
601	441	292
602	442	291
603	442	290
604	443	289
605	443	288
606	444	287
607	444	286
608	445	286
609	445	285
610	446	284
611	446	283
612	447	282
613	447	281
614	448	280
615	448	279
616	449	279
617	449	278
618	450	277
619	450	276
620	451	275
621	451	274
622	452	273
623	453	273
624	453	272
625	454	271
626	454	270
627	454	269
628	455	268
629	455	267
630	456	266
631	456	266
632	457	265
633	458	264
634	458	263
635	459	262
636	459	261
637	459	260
638	460	260
639	460	259
640	461	258
641	461	257
642	462	256
643	462	255
644	463	255
645	463	254
646	464	253
647	464	252
648	465	251
649	465	250
650	466	249
651	466	249
652	467	248
653	467	247
654	468	246
655	468	245
656	469	244
657	469	244
658	470	243
659	470	242
660	471	241
661	471	240
662	472	240
663	472	239
664	473	238
665	473	237
666	474	236
667	474	235
668	475	235
669	475	234
670	476	233
671	476	232
672	477	231
673	477	231
674	478	230
675	479	229
676	479	228
677	480	228
678	480	227
679	481	226
680	481	225
681	482	224
682	482	224
683	483	223
684	483	222
685	484	221
686	484	220
687	485	219
688	485	219
689	486	218
690	486	217
691	486	216
692	487	215
693	487	215
694	488	214
695	488	213
696	489	212
697	489	211
698	490	211
699	490	210
700	491	209
701	491	208
702	492	207
703	492	207
704	493	206
705	493	205
706	494	204
707	494	204
708	495	203
709	495	202
710	496	201
711	496	201
712	497	200
713	497	199
714	498	198
715	498	197
716	499	197
717	499	196
718	500	195
719	500	194
720	501	194
721	502	193
722	502	192
723	503	191
724	503	190
725	504	190
726	504	189
727	504	188
728	505	187
729	506	187
730	506	186
731	507	185
732	507	184
733	508	184
734	508	183
735	509	182
736	509	181
737	510	181
738	510	180
739	511	179
740	511	178
741	512	178
742	512	177
743	513	176
744	513	175
745	514	175
746	514	174
747	515	173
748	515	172
749	516	172
750	516	171
751	517	170
752	517	169
753	518	169
754	518	168
755	518	167
756	519	166
757	519	166
758	520	165
759	520	164
760	521	163
761	521	162
762	522	162
763	522	161
764	523	160
765	523	160
766	524	159
767	524	158
768	525	157
769	525	157
770	526	156
771	526	155
772	527	154
773	527	154
774	528	153
775	528	152
776	529	151
777	529	151
778	530	150
779	530	149
780	531	148
781	531	148
782	532	147
783	532	146
784	533	145
785	533	145
786	534	144
787	534	143
788	535	143
789	535	142
790	536	141
791	536	140
792	537	140
793	537	139
794	538	138
795	538	137
796	538	137
797	539	136
798	540	135
799	540	135
800	541	134
801	541	133
802	541	132
803	542	132
804	542	131
805	543	130
806	543	130
807	544	129
808	544	128
809	545	127
810	545	127
811	546	126
812	546	125
813	547	125
814	547	124
815	548	123
816	548	122
817	549	122
818	549	121
819	550	120
820	550	120
821	551	119
822	551	118
823	552	118
824	553	117
825	553	116
826	554	115
827	554	115
828	555	114
829	555	113
830	556	113
831	556	112
832	557	111
833	557	111
834	558	110
835	558	109
836	559	108
837	559	108
838	560	107
839	561	106
840	561	106
841	562	105
842	562	104
843	563	104
844	563	103
845	564	102
846	565	102
847	565	101
848	566	100
849	566	99
850	567	99
851	567	98
852	568	97
853	568	97
854	569	96
855	569	95
856	570	95
857	571	94
858	571	93
859	571	93
860	572	92
861	573	91
862	573	91
863	574	90
864	574	89
865	575	88
866	575	88
867	576	87
868	576	86
869	577	86
870	577	85
871	578	84
872	578	84
873	579	83
874	579	82
875	580	82
876	580	81
877	581	80
878	581	80
879	582	79
880	582	78
881	583	78
882	583	77
883	584	76
884	585	76
885	585	75
886	586	74
887	586	74
888	587	73
889	587	72
890	588	71
891	588	71
892	589	70
893	589	69
894	590	69
895	590	68
896	591	67
897	592	67
898	592	66
899	593	65
900	593	65
901	594	64
902	594	63
903	595	63
904	595	62
905	596	61
906	596	61
907	597	60
908	598	59
909	598	59
910	599	58
911	599	57
912	600	57
913	600	56
914	601	55
915	601	55
916	602	54
917	602	53
918	603	53
919	603	52
920	604	51
921	604	51
922	605	50
923	605	49
924	606	49
925	607	48
926	607	47
927	608	47
928	608	46
929	609	45
930	609	45
931	610	44
932	610	43
933	611	43
934	611	42
935	612	41
936	612	41
937	613	40
938	613	39
939	614	39
940	614	38
941	615	37
942	616	37
943	616	36
944	617	35
945	617	35
946	618	34
947	618	33
948	619	33
949	619	32
950	620	31
951	620	31
952	621	30
953	622	29
954	622	29
955	623	28
956	623	28
957	624	27
958	624	26
959	625	26
960	625	25
961	626	24
962	626	24
963	627	23
964	627	22
965	628	22
966	628	21
967	629	20
968	629	20
969	630	19
970	630	18
971	631	18
972	631	17
973	632	16
974	632	16
975	632	15
976	633	14
977	633	14
978	634	13
979	634	12
980	635	12
981	636	11
982	636	11
983	637	10
984	637	9
985	637	9
986	638	8
987	638	7
988	639	7
989	639	6
990	640	5
991	640	5
992	641	4
993	641	3
994	642	3
995	642	2
996	643	1
997	643	1
998	644	0
999	644	0
